id z dz m dm
20687 0.1902499944 2.599999971e-05 20.4061 0.1552
21006 0.2902100086 0.0 21.3714 0.15315
21033 0.2278600037 0.004999999888 20.83435 0.15045
21042 0.310649991 0.0 21.45975 0.15795
21062 0.1372900009 2.400000085e-05 20.12265 0.11415
21502 0.0878399983 2.300000051e-05 18.6796 0.1066
722 0.08504000306 2.099999983e-05 18.62285 0.1057
762 0.1900900006 3.300000026e-05 20.6486 0.11825
774 0.09227000177 1.999999949e-05 18.8576 0.109
1032 0.1290300041 3.40000006e-05 19.58985 0.12795
1253 0.2616600096 4.099999933e-05 21.1668 0.15835
2017 0.2616199851 3.199999992e-05 21.4559 0.17885
2246 0.1942200065 0.0005000000237 20.61715 0.12925
2308 0.1470299959 4.400000034e-05 19.83975 0.1218
2330 0.2117899954 3.700000161e-05 21.14485 0.1818
2372 0.179580003 2.999999924e-05 20.30175 0.11325
2440 0.190290004 7.000000096e-06 20.6928 0.11925
2533 0.3388000131 0.0 21.7897 0.1618
2561 0.1173963472 2.200000017e-05 19.41925 0.10595
2789 0.2888999879 5.800000145e-05 21.5295 0.1639
2943 0.2640500069 0.0 21.2679 0.15695
3199 0.2496100068 2.400000085e-05 21.38165 0.1409
3452 0.2296700031 3.099999958e-05 20.8794 0.1271
3592 0.08547548205 5.500000043e-05 18.608 0.10035
4000 0.2765600085 3.999999899e-05 21.62545 0.19055
4577 0.3619300127 5.999999848e-05 22.1744 0.1645
5391 0.3002099991 0.0 21.62535 0.16525
5395 0.1163500026 0.0005000000237 19.38465 0.1036
5550 0.1549069732 2.099999983e-05 19.83105 0.1045
5717 0.2503699958 0.0 21.2982 0.13225
5736 0.2517400086 0.0 21.209 0.1266
5751 0.1293408126 1.70000003e-05 19.5471 0.1075
5844 0.3092899919 0.0 21.72385 0.1693
6137 0.2988800108 0.0 21.66705 0.1633
6192 0.2709099948 2.599999971e-05 21.3419 0.169
6249 0.2935299873 1.70000003e-05 21.57975 0.1437
6304 0.1897899956 0.0005000000237 20.46505 0.1185
6406 0.1237651929 1.299999985e-05 19.4023 0.1022
6649 0.3128800094 0.0 21.63085 0.14295
6699 0.3091500103 0.0 21.83605 0.15525
6780 0.202669993 2.999999924e-05 20.60265 0.13765
6933 0.2116300017 0.004999999888 20.6247 0.1276
6936 0.1789000034 2.999999924e-05 20.4025 0.1152
7143 0.3035399914 3.40000006e-05 21.872 0.13765
7473 0.2145700008 0.004999999888 20.8217 0.1308
7475 0.3204500079 0.0 21.6956 0.1358
7512 0.2183499932 0.004999999888 20.9318 0.14225
7876 0.0750188455 9.999999747e-06 18.2988 0.10185
8046 0.2576000094 3.300000026e-05 21.37115 0.15
8213 0.1846799999 8.199999866e-05 20.3647 0.13065
8719 0.1162799969 9.999999747e-06 19.29475 0.10185
10028 0.06449899822 9.999999747e-06 17.87655 0.1109
10434 0.1028800011 1.999999949e-05 19.16045 0.103
10805 0.04419500008 1.400000019e-05 16.92415 0.11995
12843 0.1656505913 2.800000038e-05 19.9345 0.12155
12853 0.1681700051 0.0005000000237 20.0523 0.1219
12855 0.1706299931 0.0005000000237 20.12375 0.14255
12860 0.1204654127 1.999999949e-05 19.52005 0.11295
12928 0.1386799961 0.0 19.76995 0.1308
12971 0.233799994 3.799999831e-05 20.92065 0.1527
12977 0.2464299947 1.70000003e-05 21.0223 0.14645
13025 0.2228599936 2.499999937e-05 21.0804 0.1546
13045 0.1791500002 4.099999933e-05 20.2809 0.1225
13070 0.1971800029 9.999999747e-05 20.5818 0.1167
13072 0.2291599959 1.200000042e-05 20.99445 0.14355
13099 0.2645100057 1.800000064e-05 21.45355 0.1665
13135 0.1033741385 0.0001510000002 19.10195 0.1007
13305 0.213379994 1.400000019e-05 20.73185 0.12325
13354 0.1565369517 7.99999998e-06 19.944 0.1104
13506 0.2433999926 0.0005000000237 21.24885 0.15475
13511 0.2365200073 2.900000072e-05 21.2481 0.14335
13641 0.2085199952 0.0005000000237 20.70195 0.1319
13655 0.2510400116 0.0 21.4064 0.1659
13727 0.2253399938 2.599999971e-05 20.861 0.12955
13757 0.2874200046 0.0 21.45405 0.14295
13830 0.3298400044 4.80000017e-05 21.65335 0.14295
13835 0.2460300028 1.999999949e-05 21.128 0.1225
13894 0.1196599975 0.0005000000237 19.65185 0.142
13934 0.3293099999 4.099999933e-05 22.21015 0.20955
